nombre,DESC_CLASIFICACION,COD_BARRIO,barrio,COD_DISTRITO,distrito,estadoOperativo,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,fechaInstalacion,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo,capacidadMax,estadoGlobalArea,coordenadasGPS
3568711,circuito deportivo elemental,85,la paz,8,fuencarral - el pardo,operativo,440597.41,4481480.16,etrs89,40.48188796,-3.70085781,calle,pedro rico,1,28029,parque norte 3 (antonio lopez aguado),20103366,2008-03-17,d0852,ae21,5,deportivas,6,bueno,40.48188796 -3.70085781
3569210,circuito deportivo elemental,87,mirasierra,8,fuencarral - el pardo,operativo,438497.36,4482668.09,etrs89,40.49243631,-3.72574853,calle,maria de maeztu,108,28049,"calle maria de maeztu, 108 c/v senda del infante",31052003,2017-10-09,d0854,ae21,9,deportivas,11,bueno,40.49243631 -3.72574853
3573005,circuito deportivo elemental,192,valdebernardo,19,vicalvaro,operativo,446968.13,4472539.44,etrs89,40.40177615,-3.62495141,calle,ladera de los almendros,14e,28032,"ladera de los almendros, 000014  e",20151600,2013-10-20,d1950,ae21,12,deportivas,10,bueno,40.40177615 -3.62495141
3573016,circuito deportivo elemental,192,valdebernardo,19,vicalvaro,operativo,447538.38,4471701.76,etrs89,40.3942659,-3.61816268,avenida,democracia,50,28031,"avda democracia, 000050",20165254,2020-10-13,d1953,ae21,11,deportivas,5,bueno,40.3942659 -3.61816268
3573208,circuito deportivo elemental,183,ensanche de vallecas,18,villa de vallecas,operativo,449416.79,4468380.84,etrs89,40.36446486,-3.59576667,calle,maria teresa leon,1g,28051,"maria teresa leon, 000001  g",31026567,2020-10-13,d1854,ae21,3,deportivas,5,medio,40.36446486 -3.59576667
3573331,circuito deportivo elemental,182,santa eugenia,18,villa de vallecas,operativo,448854.01,4469974.4,etrs89,40.37878646,-3.60252257,calle,poza de la sal,3,28031,"poza de la sal, 000003",11131688,2013-10-23,d1851,ae21,5,deportivas,5,medio,40.37878646 -3.60252257
3573333,circuito deportivo elemental,181,casco historico de vallecas,18,villa de vallecas,operativo,446970.232,4469259.493,etrs89,40.37222835,-3.62465361,calle,babilafuente,2,28031,"babilafuente, 000002",20170570,2013-10-20,d1853,ae21,4,deportivas,7,bueno,40.37222835 -3.62465361
3573466,circuito deportivo elemental,181,casco historico de vallecas,18,villa de vallecas,operativo,446183.7,4469509.08,etrs89,40.37442638,-3.63393894,carretera,villaverde a vallecas,289,28031,"ctra villaverde a vallecas, 000289",20180908,2013-10-20,d1856,ae21,9,deportivas,5,bueno,40.37442638 -3.63393894
4792795,circuito deportivo elemental,192,valdebernardo,19,vicalvaro,operativo,446881.88,4472327.78,etrs89,40.39986388,-3.6259501,autovia,m-40,1500ex,28032,"autov m-40, 001500 ex",31031401,2017-12-20,d1954,ae21,8,deportivas,5,bueno,40.39986388 -3.6259501
4792812,circuito deportivo elemental,191,casco historico de vicalvaro,19,vicalvaro,operativo,449811.48,4473216.06,etrs89,40.40804785,-3.5914992,calle,abad juan catalan,70,28032,"abad juan catalan, 000070",31037333,2017-12-18,d1957,ae21,8,deportivas,8,bueno,40.40804785 -3.5914992
4795141,circuito deportivo elemental,134,palomeras sureste,13,puente de vallecas,operativo,446093.72,4470974.62,etrs89,40.38762311,-3.63512279,avenida,miguel hernandez,48,28038,"avda miguel hernandez, 000048",20035278,2017-06-08,d1355,ae21,6,deportivas,5,bueno,40.38762311 -3.63512279
4986445,circuito deportivo elemental,172,san cristobal,17,villaverde,operativo,441299.28,4466363.19,etrs89,40.34575667,-3.69118256,calle,beniferri,2,28021,"beniferri, 000002",11126150,2018-11-30,d1756,ae21,11,deportivas,10,medio,40.34575667 -3.69118256
4988362,circuito deportivo elemental,52,prosperidad,5,chamartin,operativo,443204.75,4476943.93,etrs89,40.44120593,-3.66969137,calle,corazon de maria,18,28002,parque puerta de america,20120209,2018-12-20,d0502,ae21,4,deportivas,5,bueno,40.44120593 -3.66969137
3568708,circuito deportivo elemental,97,aravaca,9,moncloa - aravaca,operativo,433267.98,4478349.75,etrs89,40.45313183,-3.78699707,calle,escultor peresejo,60,28023,"escultor peresejo, 60-6 (parque arroyo pozuelo)",20063772,2006-01-25,d0950,ae21,11,deportivas,5,bueno,40.45313183 -3.78699707
3568959,circuito deportivo elemental,44,guindalera,4,salamanca,operativo,444014.4,4477014.43,etrs89,40.44189594,-3.66015134,avenida,brasilia,6,28028,"avenida de brasilia, 6",31026007,1996-01-01,d0451,ae21,6,deportivas,6,malo,40.44189594 -3.66015134
3569421,circuito deportivo elemental,62,cuatro caminos,6,tetuan,operativo,440796.97,4478265.17,etrs89,40.45294029,-3.69820349,avenida,general peron,5,28020,3569421_DIRECCION_AUX_desconocido,11029966,2004-01-01,d0652,ae21,9,deportivas,6,bueno,40.45294029 -3.69820349
3573015,circuito deportivo elemental,191,casco historico de vicalvaro,19,vicalvaro,operativo,449242.72,4473418.81,etrs89,40.40983987,-3.59821817,paseo,polideportivo,144,28032,"paseo polideportivo, 000144",20154043,1996-01-01,d1951,ae21,11,deportivas,5,bueno,40.40983987 -3.59821817
3573050,circuito deportivo elemental,113,san isidro,11,carabanchel,operativo,438262.05,4471523.78,etrs89,40.39202662,-3.72744201,calle,el toboso,25,28019,"el toboso, 000025",11073134,1996-01-01,d1156,ae21,13,deportivas,5,bueno,40.39202662 -3.72744201
3573330,circuito deportivo elemental,182,santa eugenia,18,villa de vallecas,operativo,448301.55,4470260.53,etrs89,40.38133003,-3.60905366,calle,zazuar,12,28031,"zazuar, 000012",31011883,2013-10-23,d1850,ae21,10,deportivas,12,medio,40.38133003 -3.60905366
3573332,circuito deportivo elemental,182,santa eugenia,18,villa de vallecas,operativo,448611.62,4469846.57,etrs89,40.37761997,-3.60536757,calle,poza de la sal,19,28031,"poza de la sal, 000019",11131700,2013-10-23,d1855,ae21,7,deportivas,5,bueno,40.37761997 -3.60536757
3573350,circuito deportivo elemental,181,casco historico de vallecas,18,villa de vallecas,operativo,447019.82,4469328.46,etrs89,40.3728528,-3.62407526,calle,babilafuente,1,28031,"babilafuente, 000001",20170576,2013-10-20,d1852,ae21,11,deportivas,8,bueno,40.3728528 -3.62407526
4792788,circuito deportivo elemental,192,valdebernardo,19,vicalvaro,operativo,447539.09,4472342.72,etrs89,40.40004013,-3.61820713,calle,cordel de pavones,9,28032,"cordel de pavones, 000009",31006992,1996-01-01,d1956,ae21,8,deportivas,5,bueno,40.40004013 -3.61820713
4792806,circuito deportivo elemental,191,casco historico de vicalvaro,19,vicalvaro,operativo,447675.68,4473620.38,etrs89,40.41155872,-3.61670266,avenida,daroca,299,28032,"avda daroca, 000299",31041868,1996-01-01,d1955,ae21,7,deportivas,12,medio,40.41155872 -3.61670266
4794560,circuito deportivo elemental,62,cuatro caminos,6,tetuan,operativo,441208.42,4477835.59,etrs89,40.44909965,-3.69331167,paseo,castellana,75 b,28046,4794560_DIRECCION_AUX_desconocido,20181752,2018-06-18,d0653,ae21,9,deportivas,5,bueno,40.44909965 -3.69331167
4985933,circuito deportivo elemental,181,casco historico de vallecas,18,villa de vallecas,operativo,446385.04,4468656.83,etrs89,40.36676172,-3.63149569,calle,perales del rio,14,28031,"perales del rio, 000014",31042406,2018-06-01,d1857,ae21,6,deportivas,5,bueno,40.36676172 -3.63149569
4988302,circuito deportivo elemental,194,el cañaveral,19,vicalvaro,operativo,452083.52,4472894.74,etrs89,40.40528704,-3.56469903,calle,alto del esparragal,214,28052,"alto del esparragal, 000214",31047359,1996-01-01,d1958,ae21,9,deportivas,7,bueno,40.40528704 -3.56469903
3740686,circuito deportivo elemental,52,prosperidad,5,chamartin,operativo,443654.16,4478163.31,etrs89,40.45222129,-3.66450074,calle,padre claret,38,28002,parque rodiguez de la fuente,31041818,2017-12-01,d0501,ae21,5,deportivas,21,bueno,40.45222129 -3.66450074
3971913,circuito deportivo elemental,124,almendrales,12,usera,operativo,441061.86,4470414.01,etrs89,40.38223204,-3.69435226,calle,añafil,14,28026,"añafil, 000014",31009895,2008-02-16,d1253,ae21,8,deportivas,5,bueno,40.38223204 -3.69435226
451353,circuito deportivo elemental,85,la paz,8,fuencarral - el pardo,operativo,441083.07,4481248.95,etrs89,40.47983973,-3.6951067,avenida,monforte de lemos,12,28029,parque norte,20095292,2015-01-12,d0851,ae21,13,deportivas,13,bueno,40.47983973 -3.6951067
451521,circuito deportivo elemental,104,aluche,10,latina,operativo,435282.347,4472326.805,etrs89,40.3990344,-3.7626298,paseo,extremadura,351,28011,"calle seseña, 34",11068877,1996-01-01,d1054,ae21,11,deportivas,11,bueno,40.3990344 -3.7626298
451542,circuito deportivo elemental,103,lucero,10,latina,operativo,436461.18,4472216.34,etrs89,40.39813007,-3.7487286,calle,cuart de poblet,19,28047,parque cuña verde,31016351,2021-06-05,d1056,ae21,10,deportivas,5,bueno,40.39813007 -3.7487286
5195385,circuito deportivo elemental,171,villaverde alto - casco historico de villaverde,17,villaverde,operativo,439209.51,4466641.08,etrs89,40.34811041,-3.71581362,calle,sulfato,22e,28021,"sulfato, 000022  e",20162505,2019-09-25,d1757,ae21,8,deportivas,5,medio,40.34811041 -3.71581362
52042,circuito deportivo elemental,24,legazpi,2,arganzuela,operativo,441938.701,4470854.699,etrs89,40.38626357,-3.68406303,calle,puerto de la cruz verde,23,28045,parque enrique tierno galvan,20118243,2021-04-05,d0250,ae21,12,deportivas,11,bueno,40.38626357 -3.68406303
5209117,circuito deportivo elemental,105,campamento,10,latina,operativo,434271.75,4471852.53,etrs89,40.39468281,-3.77448864,calle,cine,33,28024,5209117_DIRECCION_AUX_desconocido,11066850,2019-08-11,d1058,ae21,3,deportivas,5,bueno,40.39468281 -3.77448864
52109,circuito deportivo elemental,113,san isidro,11,carabanchel,operativo,438192.2,4472295.05,etrs89,40.3989694,-3.72833983,paseo,ermita del santo,74b,28019,"paseo ermita del santo, 000074  b",31048276,1996-01-01,d1151,ae21,26,deportivas,26,bueno,40.3989694 -3.72833983
52111,circuito deportivo elemental,114,vista alegre,11,carabanchel,operativo,436321.81,4470514.14,etrs89,40.38278529,-3.75020059,calle,fernando delgado,8,28047,"fernando delgado, 000008",11074893,2021-05-06,d1153,ae21,7,deportivas,9,medio,40.38278529 -3.75020059
52122,circuito deportivo elemental,121,orcasitas,12,usera,operativo,439068.85,4468763.84,etrs89,40.36722311,-3.71767252,calle,beasain,45,28041,"beasain, 000045",31030933,2013-08-01,d1251,ae21,15,deportivas,5,medio,40.36722311 -3.71767252
5224222,circuito deportivo elemental,171,villaverde alto - casco historico de villaverde,17,villaverde,operativo,440624.65,4465016.49,etrs89,40.33357705,-3.69900034,calle,transversal sexta,20,28021,"transversal sexta, 000020",20161828,2019-12-18,d1758,ae21,6,deportivas,5,bueno,40.33357705 -3.69900034
5653716,area de juegos/especial,35,los jeronimos,3,retiro,operativo,442075.992,4473971.967,etrs89,40.41435515,-3.68272925,5653716_TIPO_VIA_desconocido,5653716_NOM_VIA_desconocido,5653716_NUM_VIA_desconocido,5653716_COD_POSTAL_desconocido,5653716_DIRECCION_AUX_desconocido,5653716_NDP_desconocido,2014-11-03,5653716_CODIGO_INTERNO_desconocido,6,1,deportivas,0,bueno,40.41435515 -3.68272925
5653737,area de juegos/especial,35,los jeronimos,3,retiro,operativo,442052.286,4473575.217,etrs89,40.41077938,-3.6829725,5653737_TIPO_VIA_desconocido,5653737_NOM_VIA_desconocido,5653737_NUM_VIA_desconocido,5653737_COD_POSTAL_desconocido,5653737_DIRECCION_AUX_desconocido,5653737_NDP_desconocido,1996-01-01,5653737_CODIGO_INTERNO_desconocido,6,24,deportivas,0,bueno,40.41077938 -3.6829725
5653825,area de juegos/especial,43,fuente del berro,4,salamanca,operativo,444022.896,4474922.684,etrs89,40.42305296,-3.65986694,5653825_TIPO_VIA_desconocido,5653825_NOM_VIA_desconocido,5653825_NUM_VIA_desconocido,5653825_COD_POSTAL_desconocido,5653825_DIRECCION_AUX_desconocido,5653825_NDP_desconocido,2014-10-29,5653825_CODIGO_INTERNO_desconocido,6,1,deportivas,0,bueno,40.42305296 -3.65986694
5653881,area de juegos/especial,93,ciudad universitaria,9,moncloa - aravaca,operativo,439202.418,4478775.355,etrs89,40.45742112,-3.71705611,5653881_TIPO_VIA_desconocido,5653881_NOM_VIA_desconocido,5653881_NUM_VIA_desconocido,5653881_COD_POSTAL_desconocido,5653881_DIRECCION_AUX_desconocido,5653881_NDP_desconocido,2009-12-29,5653881_CODIGO_INTERNO_desconocido,6,3,deportivas,0,medio,40.45742112 -3.71705611
5653896,area de juegos/especial,93,ciudad universitaria,9,moncloa - aravaca,operativo,438897.19,4478964.46,etrs89,40.45910227,-3.72067395,5653896_TIPO_VIA_desconocido,5653896_NOM_VIA_desconocido,5653896_NUM_VIA_desconocido,5653896_COD_POSTAL_desconocido,5653896_DIRECCION_AUX_desconocido,5653896_NDP_desconocido,2009-12-29,5653896_CODIGO_INTERNO_desconocido,6,1,deportivas,0,bueno,40.45910227 -3.72067395
5653901,area de juegos/especial,93,ciudad universitaria,9,moncloa - aravaca,operativo,439219.998,4478724.406,etrs89,40.45696344,-3.71684391,5653901_TIPO_VIA_desconocido,5653901_NOM_VIA_desconocido,5653901_NUM_VIA_desconocido,5653901_COD_POSTAL_desconocido,5653901_DIRECCION_AUX_desconocido,5653901_NDP_desconocido,2009-12-29,5653901_CODIGO_INTERNO_desconocido,6,2,deportivas,0,bueno,40.45696344 -3.71684391
5653905,area de juegos/especial,93,ciudad universitaria,9,moncloa - aravaca,operativo,439076.979,4478382.736,etrs89,40.45387507,-3.71849777,5653905_TIPO_VIA_desconocido,5653905_NOM_VIA_desconocido,5653905_NUM_VIA_desconocido,5653905_COD_POSTAL_desconocido,5653905_DIRECCION_AUX_desconocido,5653905_NDP_desconocido,2029-12-09,5653905_CODIGO_INTERNO_desconocido,6,1,deportivas,0,bueno,40.45387507 -3.71849777
5653909,area de juegos/especial,93,ciudad universitaria,9,moncloa - aravaca,operativo,438967.331,4478495.705,etrs89,40.4548847,-3.71980167,5653909_TIPO_VIA_desconocido,5653909_NOM_VIA_desconocido,5653909_NUM_VIA_desconocido,5653909_COD_POSTAL_desconocido,5653909_DIRECCION_AUX_desconocido,5653909_NDP_desconocido,1996-01-01,5653909_CODIGO_INTERNO_desconocido,6,1,deportivas,0,bueno,40.4548847 -3.71980167
5653924,area de juegos/especial,93,ciudad universitaria,9,moncloa - aravaca,operativo,438790.056,4478480.258,etrs89,40.45473251,-3.72189076,5653924_TIPO_VIA_desconocido,5653924_NOM_VIA_desconocido,5653924_NUM_VIA_desconocido,5653924_COD_POSTAL_desconocido,5653924_DIRECCION_AUX_desconocido,5653924_NDP_desconocido,2009-12-29,5653924_CODIGO_INTERNO_desconocido,6,2,deportivas,0,medio,40.45473251 -3.72189076
5653942,area de juegos/especial,93,ciudad universitaria,9,moncloa - aravaca,operativo,438675.604,4478433.465,etrs89,40.45430254,-3.72323595,5653942_TIPO_VIA_desconocido,5653942_NOM_VIA_desconocido,5653942_NUM_VIA_desconocido,5653942_COD_POSTAL_desconocido,5653942_DIRECCION_AUX_desconocido,5653942_NDP_desconocido,2009-12-29,5653942_CODIGO_INTERNO_desconocido,6,1,deportivas,0,bueno,40.45430254 -3.72323595
5653960,area de juegos/especial,93,ciudad universitaria,9,moncloa - aravaca,operativo,438599.065,4478404.846,etrs89,40.45403908,-3.72413578,5653960_TIPO_VIA_desconocido,5653960_NOM_VIA_desconocido,5653960_NUM_VIA_desconocido,5653960_COD_POSTAL_desconocido,5653960_DIRECCION_AUX_desconocido,5653960_NDP_desconocido,2009-12-29,5653960_CODIGO_INTERNO_desconocido,6,3,deportivas,0,medio,40.45403908 -3.72413578
