id,fechaReporte,tipoIncidente,gravedad,AreaRecreativaID
1,2024-06-13,Robo,Alta,17538
2,2024-07-16,Caida,Baja,16724
3,2021-03-09,Caida,Critica,18191
4,2023-10-15,Accidente,Media,52162
5,2022-06-25,Accidente,Alta,17397
6,2020-06-08,Robo,Baja,17260
7,2023-08-23,Vandalismo,Critica,7928031
8,2022-01-15,Accidente,Critica,17278
9,2024-08-27,Vandalismo,Media,16729
10,2020-11-04,Accidente,Critica,17203
11,2023-11-11,Accidente,Media,18354
12,2020-12-25,Daño estructural,Media,17446
13,2020-10-18,Caida,Media,18411
14,2024-09-25,Caida,Media,18294
15,2019-12-11,Daño estructural,Media,52102
16,2024-07-10,Caida,Media,18321
17,2020-12-07,Vandalismo,Baja,18203
18,2020-01-30,Daño estructural,Media,17181
19,2020-07-21,Vandalismo,Alta,17701
20,2021-08-14,Daño estructural,Baja,52114
21,2020-10-09,Daño estructural,Baja,17907
22,2019-11-18,Vandalismo,Media,52105
23,2022-04-08,Caida,Media,7889423
24,2024-06-03,Caida,Media,18118
25,2021-06-03,Robo,Baja,52060
26,2020-11-16,Vandalismo,Alta,6880820
27,2019-11-27,Accidente,Media,17849
28,2023-09-18,Daño estructural,Critica,17769
29,2023-10-22,Accidente,Baja,17091
30,2020-08-23,Daño estructural,Alta,5219934
31,2021-06-15,Vandalismo,Alta,17629
32,2024-04-13,Caida,Critica,18355
33,2020-06-01,Caida,Baja,17149
34,2024-07-16,Accidente,Alta,17768
35,2024-01-12,Vandalismo,Baja,16763
36,2024-07-28,Caida,Media,3568959
37,2023-09-13,Accidente,Critica,16928
38,2024-07-26,Accidente,Alta,17026
39,2024-03-24,Daño estructural,Critica,4985928
40,2022-03-08,Caida,Alta,3573055
41,2023-09-27,Daño estructural,Critica,18010
42,2023-04-14,Accidente,Media,17765
43,2021-01-12,Daño estructural,Alta,7356671
44,2021-04-16,Daño estructural,Baja,17256
45,2024-02-10,Accidente,Media,16731
46,2022-05-17,Caida,Critica,18492
47,2021-04-11,Robo,Media,17123
48,2021-10-08,Caida,Alta,8799950
49,2023-11-13,Daño estructural,Media,17311
50,2020-07-26,Daño estructural,Media,18430
51,2021-10-03,Caida,Baja,18519
52,2024-01-22,Accidente,Alta,52055
53,2021-03-04,Caida,Critica,52088
54,2022-11-28,Daño estructural,Baja,7126517
55,2022-09-28,Accidente,Alta,17798
56,2023-09-30,Accidente,Alta,16935
57,2022-12-17,Caida,Media,17997
58,2022-07-17,Daño estructural,Baja,18481
59,2023-04-13,Robo,Critica,52046
