id,nombre,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,estadoOperativo,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,fechaInstalacion,CODIGO_INTERNO,CONTRATO_COD,modelo,tipo,accesibilidad,IndicadorExposicion
9536972,varios juegos en cde,125,moscardo,12,usera,operativo,440127.235,4471484.87,etrs89,40.39181226,-3.70546297,calle,mariblanca,14,28026,c/torero,11084099,2024-01-31,d127106,ae21,,deportivas,no,alto
9536966,varios juegos en cde,125,moscardo,12,usera,operativo,440120.72,4471484.01,etrs89,40.39180405,-3.70553965,calle,mariblanca,14,28026,c/torero,11084099,2024-01-31,d127102,ae21,,deportivas,no,medio
9536965,varios juegos en cde,125,moscardo,12,usera,operativo,440122.796,4471479.925,etrs89,40.3917674,-3.70551481,calle,mariblanca,14,28026,c/torero,11084099,2024-01-31,d127101,ae21,,deportivas,no,medio
9535131,barras paralelas en cde,116,buenavista,11,carabanchel,operativo,436239.954,4468572.408,etrs89,40.36528705,-3.75097065,avenida,carabanchel alto,21,28054,c/blanca cv c/dinero,31069202,2023-09-15,d117105,ae21,,deportivas,no,bajo
9535128,multiejercicio en cde,116,buenavista,11,carabanchel,operativo,436234.994,4468565.132,etrs89,40.36522112,-3.75102834,avenida,carabanchel alto,21,28054,c/blanca cv c/dinero,31069202,1998-01-01,d117102,ae21,,deportivas,no,bajo
9535127,banco de abdominales en cde,116,buenavista,11,carabanchel,operativo,436241.807,4468566.587,etrs89,40.36523475,-3.75094824,avenida,carabanchel alto,21,28054,c/blanca cv c/dinero,31069202,2023-09-15,d117101,ae21,,deportivas,no,medio
9494201,varios juegos en cde,65,valdeacederas,6,tetuan,operativo,439936.89,4479630.206,etrs89,40.46517536,-3.70847517,paseo,direccion,190,28039,paseo de la direccion 215,31028286,2019-03-24,d065803,ae21,,deportivas,no,medio
9493030,banco de abdominales en cde,54,hispanoamerica,5,chamartin,operativo,442788.959,4478566.027,etrs89,40.45579005,-3.6747399,calle,puerto rico,27,28016,puerto rico 27,11025193,2006-02-01,d050712,ae21,,deportivas,no,alto
9493021,varios juegos en cde,54,hispanoamerica,5,chamartin,operativo,442778.376,4478564.042,etrs89,40.45577144,-3.67486453,calle,puerto rico,27,28016,puerto rico 27,11025193,2024-03-07,d050706,ae21,,deportivas,no,bajo
9492867,varios juegos en cde,86,valverde,8,fuencarral - el pardo,operativo,441924.663,4481670.475,etrs89,40.48369629,-3.68521681,avenida,llano castellano,3,28034,parque de begoña,11047058,2024-04-04,d085508,ae21,,deportivas,no,alto
9492624,banco de abdominales en cde,83,peñagrande,8,fuencarral - el pardo,operativo,437900.908,4482004.072,etrs89,40.48641023,-3.73272123,calle,arroyo del monte,17,28049,calle arroyo del monte 17                                               ,31055760,2014-02-24,d087702,ae21,,deportivas,no,bajo
9438562,barra defflexiones en cde,84,pilar,8,fuencarral - el pardo,operativo,439958.955,4481432.719,etrs89,40.48141467,-3.70838555,calle,santiago de compostela,62,28034,cv c/pintor francisco llorens,11045726,2024-03-26,d087607,ae21,,deportivas,no,medio
9438560,varios juegos en cde,84,pilar,8,fuencarral - el pardo,operativo,439966.363,4481437.217,etrs89,40.48145573,-3.70829858,calle,santiago de compostela,62,28034,cv c/pintor francisco llorens,11045726,2024-03-26,d087605,ae21,,deportivas,no,alto
9438380,varios juegos en cde,84,pilar,8,fuencarral - el pardo,operativo,439950.819,4481434.812,etrs89,40.48143294,-3.70848173,calle,santiago de compostela,62,28034,cv c/pintor francisco llorens,11045726,1998-01-01,d087602,ae21,,deportivas,no,alto
9438367,varios juegos en cde,85,la paz,8,fuencarral - el pardo,operativo,440353.364,4481511.296,etrs89,40.48215095,-3.70373989,calle,pedro rico,49,28029,cv  c/finisterre,20098055,2026-03-24,d087508,ae21,,deportivas,no,medio
9438316,varios juegos en cde,85,la paz,8,fuencarral - el pardo,operativo,440371.356,4481518.969,etrs89,40.48222136,-3.70352835,calle,pedro rico,49,28029,cv  c/finisterre,20098055,2024-03-26,d087502,ae21,,deportivas,no,bajo
9407936,varios juegos en cde,116,buenavista,11,carabanchel,operativo,435355.049,4469531.535,etrs89,40.37385913,-3.76148951,parque,cruces,9407936_NUM_VIA_desconocido,28044,parque cruces,31050612,2023-08-01,c118609,ae21,,deportivas,no,bajo
9407914,varios juegos en cde,116,buenavista,11,carabanchel,operativo,435358.623,4469507.565,etrs89,40.37364348,-3.76144498,parque,cruces,9407914_NUM_VIA_desconocido,28044,parque cruces,31050612,2023-08-01,c118606,ae21,,deportivas,no,medio
9407910,varios juegos en cde,116,buenavista,11,carabanchel,operativo,435336.53,4469529.89,etrs89,40.37384288,-3.76170747,parque,cruces,9407910_NUM_VIA_desconocido,28044,parque cruces,31050612,2023-08-01,c118603,ae21,,deportivas,no,medio
9407821,varios juegos en cde,116,buenavista,11,carabanchel,operativo,435898.804,4469724.458,etrs89,40.37563906,-3.75510424,parque,camino de las cruces,9407821_NUM_VIA_desconocido,28044,parque camino de las cruces,11077627,1996-01-01,c118508,ae21,,deportivas,no,bajo
9407759,varios juegos en cde,116,buenavista,11,carabanchel,operativo,435915.539,4469735.703,etrs89,40.37574165,-3.75490825,parque,camino de las cruces,9407759_NUM_VIA_desconocido,28044,parque camino de las cruces,11077627,2023-01-08,c118504,ae21,,deportivas,no,bajo
9407627,varios juegos en cde,116,buenavista,11,carabanchel,operativo,435906.775,4469728.334,etrs89,40.37567459,-3.75501074,parque,camino de las cruces,9407627_NUM_VIA_desconocido,28044,parque camino de las cruces,11077627,2001-08-23,c118501,ae21,,deportivas,no,alto
9398114,escalera horizontal en cde,103,lucero,10,latina,operativo,436601.657,4472415.815,etrs89,40.39993772,-3.74709324,avenida,caprichos,14,28011,parque caramuel,20148982,2004-01-01,d105509,ae21,,deportivas,no,alto
9397138,varios juegos en cde,131,entrevias,13,puente de vallecas,operativo,442563.436,4470305.248,etrs89,40.38135711,-3.67665352,ronda,sur,2,28053,c/ lagartera,31012755,2023-11-28,d137209,ae21,,deportivas,no,alto
9397137,varios juegos en cde,131,entrevias,13,puente de vallecas,operativo,442558.806,4470306.439,etrs89,40.38136752,-3.67670817,ronda,sur,2,28053,c/ lagartera,31012755,2023-11-28,d137208,ae21,,deportivas,no,alto
9397134,varios juegos en cde,131,entrevias,13,puente de vallecas,operativo,442555.366,4470308.026,etrs89,40.38138158,-3.67674884,ronda,sur,2,28053,c/ lagartera,31012755,2023-11-28,d137206,ae21,,deportivas,no,medio
9397131,varios juegos en cde,131,entrevias,13,puente de vallecas,operativo,442564.627,4470303.561,etrs89,40.38134199,-3.67663934,ronda,sur,2,28053,c/ lagartera,31012755,2023-11-28,d137203,ae21,,deportivas,no,alto
9397078,varios juegos en cde,131,entrevias,13,puente de vallecas,operativo,442561.584,4470303.727,etrs89,40.38134328,-3.6766752,ronda,sur,2,28053,c/ lagartera,31012755,2023-11-28,d137202,ae21,,deportivas,no,alto
9397071,varios juegos en cde,131,entrevias,13,puente de vallecas,operativo,442621.427,4470489.947,etrs89,40.38302498,-3.67598701,ronda,sur,2,28053,c/ lagartera,31012755,2028-11-23,d137306,ae21,,deportivas,no,alto
9397070,varios juegos en cde,131,entrevias,13,puente de vallecas,operativo,442626.52,4470509.592,etrs89,40.3832023,-3.67592879,ronda,sur,2,28053,c/ lagartera,31012755,2023-11-28,d137305,ae21,,deportivas,no,alto
9396700,varios juegos en cde,151,ventas,15,ciudad lineal,operativo,444885.438,4475245.448,etrs89,40.42601818,-3.64972776,calle,santa felicidad,20,28017,cv c/maria teresa saez de heredia,11103833,2023-09-15,d155705,ae21,,deportivas,no,medio
9396660,varios juegos en cde,151,ventas,15,ciudad lineal,operativo,444884.975,4475241.975,etrs89,40.42598686,-3.64973292,calle,santa felicidad,20,28017,cv c/maria teresa saez de heredia,11103833,2023-09-15,d155701,ae21,,deportivas,no,medio
9393810,varios juegos en cde,213,casco historico de barajas,21,barajas,operativo,451156.281,4480242.898,etrs89,40.47143023,-3.57619095,9393810_TIPO_VIA_desconocido,ayerbe,9393810_NUM_VIA_desconocido,28042,"ayerbe, 22",20078838,2023-03-11,d216205,ae21,,deportivas,no,medio
9392926,varios juegos en cde,212,aeropuerto,21,barajas,operativo,451072.723,4480229.103,etrs89,40.47130104,-3.57717554,9392926_TIPO_VIA_desconocido,ayerbe,9392926_NUM_VIA_desconocido,28042,"ayerbe, 23",20152036,2023-03-11,d216304,ae21,,deportivas,no,medio
9392924,varios juegos en cde,212,aeropuerto,21,barajas,operativo,451075.236,4480231.882,etrs89,40.47132622,-3.57714611,9392924_TIPO_VIA_desconocido,ayerbe,9392924_NUM_VIA_desconocido,28042,"ayerbe, 23",20152036,2023-11-03,d216303,ae21,,deportivas,no,medio
