id,fechaIntervencion,tipoIntervencion,estadoPrevio,estadoPosterior,JuegoID,Tipo,Comentarios
mnt-00001,2024-08-05,correctivo,malo,malo,9394146,preventivo,comentario sobre el mantenimiento 1
mnt-00002,2024-03-30,correctivo,regular,regular,9224036,preventivo,comentario sobre el mantenimiento 2
mnt-00003,2024-09-17,emergencia,bueno,bueno,3849642,preventivo,comentario sobre el mantenimiento 3
mnt-00004,2023-11-01,emergencia,regular,bueno,59177,preventivo,comentario sobre el mantenimiento 4
mnt-00005,2024-02-04,emergencia,bueno,malo,21957,preventivo,comentario sobre el mantenimiento 5
mnt-00006,2024-03-06,preventivo,regular,regular,34208,queja_usuario,comentario sobre el mantenimiento 6
mnt-00007,2023-10-22,preventivo,bueno,regular,8803674,queja_usuario,comentario sobre el mantenimiento 7
mnt-00008,2024-01-29,correctivo,bueno,regular,3576475,queja_usuario,comentario sobre el mantenimiento 8
mnt-00009,2024-07-01,correctivo,malo,regular,5158890,preventivo,comentario sobre el mantenimiento 9
mnt-00010,2024-02-20,emergencia,regular,bueno,4988207,preventivo,comentario sobre el mantenimiento 10
mnt-00011,2024-04-09,correctivo,regular,bueno,9223682,preventivo,comentario sobre el mantenimiento 11
mnt-00012,2024-08-02,preventivo,bueno,bueno,35036,queja_usuario,comentario sobre el mantenimiento 12
mnt-00013,2024-02-17,emergencia,malo,regular,58764,preventivo,comentario sobre el mantenimiento 13
mnt-00014,2024-05-25,emergencia,malo,regular,7822978,queja_usuario,comentario sobre el mantenimiento 14
mnt-00015,2023-10-18,emergencia,bueno,regular,7126930,queja_usuario,comentario sobre el mantenimiento 15
mnt-00016,2024-09-26,correctivo,malo,bueno,58422,preventivo,comentario sobre el mantenimiento 16
mnt-00017,2023-11-12,preventivo,regular,regular,4731663,queja_usuario,comentario sobre el mantenimiento 17
mnt-00018,2024-02-08,correctivo,malo,bueno,20559,preventivo,comentario sobre el mantenimiento 18
mnt-00019,2024-06-08,preventivo,regular,malo,21238,queja_usuario,comentario sobre el mantenimiento 19
mnt-00020,2023-12-18,preventivo,regular,regular,19725,queja_usuario,comentario sobre el mantenimiento 20
mnt-00021,2023-12-25,emergencia,regular,regular,4749929,preventivo,comentario sobre el mantenimiento 21
mnt-00022,2024-04-02,emergencia,bueno,regular,25582,queja_usuario,comentario sobre el mantenimiento 22
mnt-00023,2024-06-16,preventivo,regular,malo,18826,preventivo,comentario sobre el mantenimiento 23
mnt-00024,2024-06-13,correctivo,bueno,regular,20237,queja_usuario,comentario sobre el mantenimiento 24
mnt-00025,2024-07-12,correctivo,regular,malo,3997060,queja_usuario,comentario sobre el mantenimiento 25
mnt-00026,2024-05-20,emergencia,malo,malo,5241083,preventivo,comentario sobre el mantenimiento 26
mnt-00027,2024-08-19,preventivo,bueno,bueno,9497226,preventivo,comentario sobre el mantenimiento 27
mnt-00028,2024-01-03,correctivo,regular,bueno,9271148,preventivo,comentario sobre el mantenimiento 28
mnt-00029,2024-05-08,preventivo,malo,bueno,33591,preventivo,comentario sobre el mantenimiento 29
mnt-00030,2024-01-02,correctivo,bueno,malo,33491,preventivo,comentario sobre el mantenimiento 30
mnt-00031,2023-10-21,correctivo,regular,bueno,8888577,queja_usuario,comentario sobre el mantenimiento 31
mnt-00032,2024-09-10,correctivo,malo,regular,18703,preventivo,comentario sobre el mantenimiento 32
